quadra;area_construida_vertical_2013;area_construida_vertical_2023;delta_pde
008072;5878.0;5878.0;0.0
008073;7760.0;8452.0;692.0
008074;8985.0;8985.0;0.0
008075;4252.0;11344.0;7092.0
008076;2670.0;2675.0;5.0
008078;25877.0;25877.0;0.0
008079;30085.0;30085.0;0.0
008080;13764.0;13764.0;0.0
008081;16415.0;16415.0;0.0
008082;1608.0;1608.0;0.0
008085;24670.0;24671.0;1.0
008086;15385.0;23962.0;8577.0
008087;20282.0;20290.0;8.0
008089;10038.0;10038.0;0.0
008092;2458.0;18747.0;16289.0
008093;3987.0;3987.0;0.0
008094;10248.0;10248.0;0.0
009001;12257.0;12258.0;1.0
009003;1431.0;1431.0;0.0
009004;2676.0;2676.0;0.0
009005;572.0;572.0;0.0
009006;5605.0;5605.0;0.0
009008;19764.0;20564.0;800.0
009009;35393.0;35425.0;32.0
009012;2061.0;2061.0;0.0
009014;163916.0;163916.0;0.0
009015;1162.0;1162.0;0.0
009016;75344.0;75344.0;0.0
009017;52397.0;52397.0;0.0
009018;52858.0;52861.0;3.0
009019;161113.0;161115.0;2.0
009020;35848.0;35848.0;0.0
009023;13127.0;13127.0;0.0
009024;9156.0;9218.0;62.0
009025;18428.0;19039.0;611.0
009026;23853.0;23891.0;38.0
009029;6271.0;6271.0;0.0
009030;68066.0;68066.0;0.0
009031;87814.0;88821.0;1007.0
009032;31735.0;37589.0;5854.0
009033;23590.0;23590.0;0.0
009034;555.0;555.0;0.0
009035;18064.0;18064.0;0.0
009036;29381.0;29381.0;0.0
009037;47097.0;47097.0;0.0
009038;9473.0;9473.0;0.0
009039;20124.0;20124.0;0.0
009041;9664.0;9664.0;0.0
009042;21529.0;21667.0;138.0
009044;55400.0;59293.0;3893.0
009045;13652.0;13652.0;0.0
009046;62041.0;62041.0;0.0
009047;10373.0;10373.0;0.0
009049;106428.0;106451.0;23.0
009052;65337.0;65337.0;0.0
009053;36643.0;36643.0;0.0
009054;4395.0;4395.0;0.0
009055;16496.0;16496.0;0.0
009057;14463.0;15690.0;1227.0
009059;15498.0;15498.0;0.0
009062;4978.0;4979.0;1.0
009063;57124.0;57236.0;112.0
009066;67701.0;67706.0;5.0
009067;48156.0;48156.0;0.0
009068;42845.0;42846.0;1.0
009069;32466.0;32466.0;0.0
009070;71570.0;95646.0;24076.0
009071;131367.0;131367.0;0.0
009073;73152.0;73152.0;0.0
009074;106395.0;106813.0;418.0
009075;115727.0;116312.0;585.0
009079;10002.0;10002.0;0.0
009080;85001.0;95631.0;10630.0
009081;5814.0;5814.0;0.0
009082;74777.0;74777.0;0.0
009083;58744.0;58744.0;0.0
009084;106210.0;106237.0;27.0
009085;111106.0;114524.0;3418.0
009086;83984.0;92891.0;8907.0
009087;57743.0;57745.0;2.0
009088;20168.0;20168.0;0.0
009089;96324.0;96347.0;23.0
009090;126221.0;135968.0;9747.0
009093;6647.0;16054.0;9407.0
009094;7482.0;7482.0;0.0
009095;15975.0;16051.0;76.0
009097;21173.0;28191.0;7018.0
009098;428.0;428.0;0.0
009099;717.0;717.0;0.0
009100;16686.0;16700.0;14.0
009101;28515.0;28515.0;0.0
010001;62525.0;62525.0;0.0
010002;83078.0;83593.0;515.0
010003;73459.0;74277.0;818.0
010004;68013.0;68621.0;608.0
010005;86824.0;86824.0;0.0
010007;34763.0;34763.0;0.0
010010;58205.0;58242.0;37.0
010011;95105.0;95469.0;364.0
010012;84760.0;100580.0;15820.0
010014;33256.0;33256.0;0.0
010015;80103.0;80103.0;0.0
010016;73815.0;78157.0;4342.0
010017;19531.0;19531.0;0.0
010018;20354.0;40012.0;19658.0
010019;86864.0;86864.0;0.0
010020;45016.0;45087.0;71.0
010023;84828.0;125264.0;40436.0
010024;101900.0;161759.0;59859.0
010025;75226.0;103213.0;27987.0
010027;74980.0;148113.0;73133.0
010028;7086.0;7086.0;0.0
010029;46603.0;46641.0;38.0
010030;14739.0;14905.0;166.0
010031;34640.0;48473.0;13833.0
010032;63748.0;78963.0;15215.0
010033;162974.0;178361.0;15387.0
010034;54544.0;54545.0;1.0
010035;132282.0;178517.0;46235.0
010036;44217.0;44218.0;1.0
010037;67497.0;67595.0;98.0
010038;23809.0;23809.0;0.0
010039;9547.0;9547.0;0.0
010040;29154.0;29154.0;0.0
010041;8089.0;8089.0;0.0
010043;33011.0;33159.0;148.0
010044;1633.0;1633.0;0.0
010045;654.0;703.0;49.0
010046;9632.0;9632.0;0.0
010047;7879.0;7879.0;0.0
010049;20964.0;20965.0;1.0
010050;36398.0;43809.0;7411.0
010052;11446.0;11447.0;1.0
010053;35067.0;35098.0;31.0
010054;21527.0;21527.0;0.0
010056;17779.0;17779.0;0.0
010057;10858.0;10858.0;0.0
010058;24663.0;24663.0;0.0
010059;31023.0;31023.0;0.0
010060;77557.0;77557.0;0.0
010061;74903.0;75091.0;188.0
010062;36594.0;36594.0;0.0
010063;12993.0;12993.0;0.0
010065;12579.0;12686.0;107.0
010066;5697.0;5697.0;0.0
010067;20290.0;20290.0;0.0
010073;3588.0;3588.0;0.0
